ticker,headline,timestamp,url,source,window,fetched_at,sentiment_label,sentiment_score
AAPL,"Alphabet, Nvidia, Apple, Dell, Deere, HP Inc., Deere, and More Stock Market Movers - Barron's",2025-11-26T21:38:00,https://news.google.com/rss/articles/CBMi6gJBVV95cUxPM1NFUU9rVnBiZG9vekgtdVk2cUZCQzV1bEowaGR2S3BGb1JfVHZBNy1BRVF2aXR0UEZRSGtoY203eGZuZjlsWndRN3JyMVJpVzQ2a1dHcnE2N0hyTmRLZG9iQm1ERzRGYnQ0Sk1saHdkVnpKMnAxSmZ6dEJDc0o2QVRKbFFTV2UwX2ozanNRYVp0a1laZnlCU2o0c2dYNUhOS3ViU25DTmhZUUVlbUdURHRDNUt4M240akc1Sm96Y0NCeUNfUFBoa29OeURXVUFkQmNrS3BvUGY5YXdwMWQyVXFTSnViUEtJdHZMdE9YY0RPcU90NnJ3NmVPUEUyNTQwdERFWGRWS0Y0T0dpSFNuTnBielpNT3dTcDRRWGRwQUVnT0E0cWZtbnpxQ0RGTzBaM01QOHJwcU44N1dpS3pwemd3RkZrRldVVElnTjBGa0hCYmhtS1hZUTdSSlVUU21ycXZpR2VpbHJWUQ?oc=5,google_news,1d,2025-11-27T08:05:52.996733,neutral,0.001317518181167543
AAPL,Apple Stock: Don't Buy Into This Strength (NASDAQ:AAPL) - Seeking Alpha,2025-11-26T13:15:19,https://news.google.com/rss/articles/CBMihwFBVV95cUxOQVFNeW1FeEpvYlJtZVJTeWFsbzJDOUs1QmVrTjVkYW9HU1JWdnUzWHlKVDFGNXI0YWFyNlF0dUs1Nk90Z2tvMEd2eWF2X2V5LVVwbUQ4V2NvbVhrMElVVkV2bjBGUEpVVEtfdjhCMWZnTGs5WTN0RUlNRjJySmUydlFBUFpnUUE?oc=5,google_news,1d,2025-11-27T08:05:52.996909,negative,-0.957878053188324
AAPL,"AAPL News Today, Nov 27: AI Shopping Tools Revolutionize Holiday Purchases - Meyka",2025-11-27T05:05:51,https://news.google.com/rss/articles/CBMiowFBVV95cUxPa3p2QkVDTjNXZHd6M3dwRkE0djJueEtRZ212UXN5V0xhUnpEenFWNlhldGdyT1pUczZtM1QxWGRSWlhnRnhmbXRpeVpzXzZtZDdqdDdKLVNySU5xQW1pMV9IXzVyU0g1YWswUG1sVVBtenV0N0s5M0kyaDRxTnMzNnY2Zzh1UGJ4NmZQMjZnTEJPUzdOVUMyNU1QcUNUcl9qZTdr?oc=5,google_news,1d,2025-11-27T08:05:52.997128,neutral,0.02244894951581955
AAPL,Apple (AAPL) Valuation: Exploring If Recent Share Momentum Reflects Future Growth Potential - simplywall.st,2025-11-26T22:24:38,https://news.google.com/rss/articles/CBMivAFBVV95cUxPTjBENDVRTmtMQjdSc1JSR0R1cU90bnhDU3I4cGFTdVpLSE15N3dPUTkzYUI3ZWg0aTlNbXh2LVFXWjRvLVJFNC1DWFF2NDJRZm5veThQVkFlTVVybzVPNTFGNDYyQ1VVY2RaQWxVcjRSanZHYWRRR1Z2aUZ1TDU4T2lodWdud0l5UV90dWptQV9tTTBrd1VzSm9oNzZxMzJQcTd2OG1zX2RFY2xBaXI2NjJISlhXSXdGV1RRRA?oc=5,google_news,1d,2025-11-27T08:05:52.997287,neutral,-1.487833469582256e-05
AAPL,Apple (AAPL) Stock: Rises Slightly as Company Battles $38 Billion India Antitrust Threat - parameter.io,2025-11-26T22:31:59,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNUEZ5RmVCUTBYNEljenczekY1QTlWb3drNVQ0LXAxMVJKZ1lnVTBzeG9aT0tlUFFfWko3Y3MzeU0yWkk0cXJ3Ul96X2tQalRiNnllY1ZyTWN3b1BVa1pZU2JLZTg0RmZGczhrMEdiWElkOUN3YUdQT2stWGtVQ2JIVzhVUlQxbjBadFJTdnlDNGhYWW1uQmVac3htNUlLUEVzdGl2VjFBUUdzdw?oc=5,google_news,1d,2025-11-27T08:05:52.997441,positive,0.9999533295631409
AAPL,"Analysts Offer Insights on Technology Companies: Navan, Inc. Class A (NAVN), Apple (AAPL) and Exodus Movement, Inc. Class A (EXOD) - The Globe and Mail",2025-11-27T06:16:42,https://news.google.com/rss/articles/CBMirAJBVV95cUxOdGtIREhFTDZtRm1pN05zR1MwaEM0bnctY1lLTklKdmZJZVdnSFhFbXp6dFluR2dhX053NTFrVmNacm1RTEw3S1Q2dHhseG1jVXVrTVBsdWlaTFVuYjVKajc5c2JmaUJFZ2luY05qT2dNSXNBeWFVX3BfSThlblloM1ZUMm9WUnBDRWJtdjltcWxvY0xOX1B5SVVFazdtYXhVVG10aTR6WUtxcVBGMldRUGZicXFZZElaVm1UX1BEOEc5RTJ2dVFwSnpHZUxJZnRJMnpkNFRLNEVIcHJiZ3o4QjVCdEZSeEVtckRqMmVEMkZReGh6c0RsN3NNc2hFZWpUVHFHLTNXLXZHR2dGTmRTM19xeWx3OEx3emxSc2NWWTBoUkRURzhGakVrNUE?oc=5,google_news,1d,2025-11-27T08:05:52.997589,neutral,5.475918669617386e-07
AAPL,Apple Stock Breaks To All-Time Highs — Succession Clarity Unlocks New Chapter - Benzinga,2025-11-26T15:37:01,https://news.google.com/rss/articles/CBMixwFBVV95cUxNTkJEcXJjYWZhQmpzR01nVFpCc0FMeWdHcTdXWHl4NU9uSWZ2Z01UMnFQazAxaEg4dmYtU2dNMHdTYmxfS094X0g2b290aUl1dFp5U1BjMXZpd2JiNXo2Um54enVvMWRZem5fMENmMVFsNjExMGUxREh3Y2pjM0NSWVdnb0lPY3dUcVpObE9hZldVNzhKNE1zeEV0cDJkM1AyQVMzbVhVOVVkblJxQ0lVNUVPNV9CZzNwX3VBU2wzVFB3RjFhUUxF?oc=5,google_news,1d,2025-11-27T08:05:52.997741,positive,0.9999532699584961
AAPL,"Apple (AAPL) stock hits a new record, heading towards $300 this week? - Pintu",2025-11-26T14:10:28,https://news.google.com/rss/articles/CBMipgFBVV95cUxQZXhsZDc2MjJ6RU5OSDIzOTdxWXlsRVFielVtUmdTdVo2MTJJUUxmdk9KWHBXTnNQd1JIcFFfaDRQVlM4TlVna3h2WWc5a2Z4LVVDSDhMREpRMWVrTkxJV1NYaXVtVm9LaFY3SElBQ0trQmwzMmVpTG1OM2tHZktfWEJ4Z1cwZXljX0dMVFJicEtjSE1NbmVzVWhUYlM1ZWh4T1Q1c2lR0gGmAUFVX3lxTFBleGxkNzYyMnpFTk5IMjM5N3FZeWxFUWJ6VW1SZ1N1WjYxMklRTGZ2T0pYcFdOc1B3UkhwUV9oNFBWUzhOVWdreHZZZzlrZngtVUNIOExESlExZWtOTElXU1hpdW1Wb0toVjdISUFDS2tCbDMyZWlMbU4za0dmS19YQnhnVzBleWNfR0xUUmJwS2NITU1uZXNVaFRiUzVlaHhPVDVzaVE?oc=5,google_news,1d,2025-11-27T08:05:52.997873,positive,0.9883078932762146
AAPL,Apple Inc. $AAPL Stock Position Increased by Rational Advisors Inc. - MarketBeat,2025-11-26T10:22:30,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQU244WWM4Z2s3VDlHNmUzLTlvZGhhRGN2dTBsNEhmTGZlS25XN2s1SEUwRjkwU0hOY2FVZ3BOdGZfcHZtLWtxNFRWOXNVNFlOTUJXSEx6UGhldGtGd2Q4VnI4Skx3ZGNqVlRRdEJOUG0xWTZ5RVBkS3BoVUFYSDktS1hYbnlraW8tQWpZSTU1X2NPeko1X2hyWHR4ekxXS3F0WElXSjVSUzYtTkEwc1pnTFBDWHVCdlZKYXBxNGdDNEJuN2M?oc=5,google_news,1d,2025-11-27T08:05:52.998025,positive,0.6886947751045227
AAPL,JPMorgan Reiterates Overweight on Apple (AAPL) as iPhone 17 Lead Times Track Higher - MSN,2025-11-26T10:53:32,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOUmdlQnBVdllEN2hsS0huMUJaR1FoczM0dkRNSko2STZXakN0X2NCSXM4aEp0QlF3NHlvRGVEeW0tVnYtejZaWXRYc3BEOEtFdURFbDZUTDJScjJDU1hFMU14WTR0dGJ6NG1MU1FNeEZCY19rdUlITDdxdm5JbFVxU200NFJ6WUJucUs5ZjJXLV9YM0xybkVOc1pnYzZfSjZVRXJJYWxBWHVEdW5xaXJHcVdWc0w1VTZvSF9lNGVUZVJiQWpLc3o0WVdfTEdURVJt?oc=5,google_news,1d,2025-11-27T08:05:52.998165,positive,1.0
