ticker,headline,timestamp,url,source,window,fetched_at,sentiment_label,sentiment_score
AAPL,The Hidden Dangers Facing Apple Stock - Trefis,2025-12-16T08:29:15,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPdHNoUnY4dVlCd2JmQWlPVDVDNGQxMkJVamZmQVRpQmlta3NoZnJZekhwYjdxM203MG9PTTRNbkh3MTB0VVRRSlZHT0JRRzJfQmZBVzRQbXFweDFxVldkNjFWaG5icmFwUWdPQV9xQXdtdHloTHBZcEdWYkxwY05mLWs0TU1rc29VYkt4YzBBNmNmbm5YSUdnOVJ4eVRGbmcwV3hsY3J6RlhqRGc?oc=5,google_news,1d,2025-12-16T17:50:17.750474+00:00,negative,-0.9999892711639404
AAPL,Apple Stock Could Drop 30% on Valuation Risks - Forbes,2025-12-16T13:20:06,https://news.google.com/rss/articles/CBMikwFBVV95cUxNS1Frb1Z4dm93WnpoaDRHNEJTTnFlVmpNckZ6YjdmQnBqS092b2lKOWZIY0JlVFJSUEw5bzUwOWp3OThJXzVFbl91dXNYelp2Y1JINktpSFBuU3hwM25pRHN0ZkYzZTVLNGRSUlJka0xGOGswTFlzUWRUeHJEbWt3MzJfcjhOdmh1alNiazFlcDBCVTg?oc=5,google_news,1d,2025-12-16T17:50:17.750670+00:00,negative,-0.999988853931427
AAPL,Apple Inc. $AAPL Stock Position Lowered by Thrivent Financial for Lutherans - MarketBeat,2025-12-16T11:24:24,https://news.google.com/rss/articles/CBMizwFBVV95cUxPX05RVHVUakxudEVTTXRKS1YyQmVGWlpjWDV1VlA1SVhEZVNESmh5enF2Z3M0UjlWM09EOXNOM1hjbmFPN280SUtSelIzbXRnR20yeHF6d1FuRDJkZi1wYVo3cFpJMVV5YVF0eVNUNUU0bUV5QW1Na0psanUyTHFKN1ZDR2xVRm9NTWJITVptNE1WamdQSEtubHlITEUyYUZKRWM5U1R2czJCR2loMWptOWdFb2tJS0lobDNBZ1pIVml4NEhHMUFLM3NkdndXa3M?oc=5,google_news,1d,2025-12-16T17:50:17.750842+00:00,negative,-0.9987316727638245
AAPL,Apple Stock (AAPL) Slides as European Apps Group Slams its DMA-Dodging “Exorbitant Fees” - TipRanks,2025-12-16T12:20:44,https://news.google.com/rss/articles/CBMitAFBVV95cUxNVVVwMGd4UW04UVFrOEJ2anNydXhHZTI0Q1hGby1jUEo1WUpPU1J3c0ZRRkcweEZ5QzN2bWEwOVk4Y3ZsdjZhd2RDd1hySDIzT2k5YkptSzdjR190bnhtTGdsQ3ZWZldYUkRnRXp6WVZpTEcwNTFENXZMcFNIX2tYMm1CNVNYc3hJc1pWVm9qNnZIN3B2X0pjMjEtZS1WcUdVVW5MTUpzaVR3dXRRQl9jaThDbTY?oc=5,google_news,1d,2025-12-16T17:50:17.750992+00:00,neutral,-0.03241419419646263
AAPL,"Apple Stock (AAPL) After Hours: Price, News, and What to Know Before the Market Opens on Dec. 16, 2025 - ts2.tech",2025-12-15T21:40:50,https://news.google.com/rss/articles/CBMitwFBVV95cUxOVlVCN3JLcFh5djFwNk50NE8yeVFlNDRYaGdSZF96T3c2Q1hHOGJzb1lKOFZqSHMwallXTUp4aC1GRGozVUl1dWFhQm9qY2ZLaFRhTWF3U2s3MVpmZjdxMEo3YlhLRVpxaFZ0SHZxUEpTRGxXczV2R0xSUU5pdVZ0RDJEZUpxV2dYaXFlT2U0LTlCekJjMUdUSnJ2UHZMcFI1dHQ5ejROZWZLYmNQQlU2TTVTYWtidHc?oc=5,google_news,1d,2025-12-16T17:50:17.751139+00:00,neutral,1.0377905255154474e-06
AAPL,Deep-Dive: Apple Inc. (AAPL/NASDAQ) Stock Research Article – 12/16/2025 - Markets Financial Content,2025-12-16T15:15:00,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOemFVX3dEWGdnN05tYjVES1F5OWE1ckZqMmUzaXlRcTdXREJEZ2g4MnlreDVESVB4WExNeEpKMDZONDBzU29mSmN1MmNFQkp6VHdsY2gzNGduMm5wS0pweU9WNjRoaDh5Mmo0NUNyVVZ4NHNEMVU4bWtKRGJ4Z3Y4NDBDWGE1QlFGZUNmc3FCcXdhdHd4ZFU3aUt0RTQ1blJBQ2Rpblg5anRvd0R1c1lLQW5YOTdGcG5OLXRHVzQ4dko1ZGFRRERFMWFEQnBqZE5YVm5F?oc=5,google_news,1d,2025-12-16T17:50:17.751323+00:00,neutral,6.53746428724844e-06
AAPL,"Analysts Offer Insights on Technology Companies: GoDaddy (GDDY), Apple (AAPL) and Salesforce (CRM) - The Globe and Mail",2025-12-16T13:34:23,https://news.google.com/rss/articles/CBMiigJBVV95cUxNbjl3T2Q3bkhMMGtRRWMwSTFFLXJ6NzBUZGpfamRaemU0aE91bkFiSGNKbF9YQ3Y5SXItQ2E2dzlYZk80YjkxRGVHRU5yN3VtLUNNWjU4X1VMOEVGMVpfa0l1UzVaa0g0TDZwT1VYX1JZOXFtckktSlhfNllXTk9pWlJfU045bzU2TlZRNXJGTmxGYzMzclpNcFlMeEoydVdzd1VrNjhqUEoybk9oY1ZUd1BFTmJtUWRWNDJLSURkcXVvUldZbXQ0WTRFNlIySTVrb21OcGNSNTdkUjdxMHNaMmUyS2pkanVReE1sdVN4UnBoWEhjZjlPMzNfNlg1dkNKVGhMM3QtV0Zvdw?oc=5,google_news,1d,2025-12-16T17:50:17.751509+00:00,neutral,1.7704725223666173e-06
AAPL,"Apple Stock (AAPL) Today: EU App Store Pressure, iPhone 17 Demand, and Wall Street Forecasts for 2026 (December 16, 2025) - ts2.tech",2025-12-16T15:01:11,https://news.google.com/rss/articles/CBMizwFBVV95cUxONkk5TlQ4azZUYjFJSnlnNW1CYUxSQ0F3WmRRcFh1dlRiMzhBb3MyTzU1V2NHTUEtRXF6LUYtdmo3OHNRVUpnXzY0Vi00eFExcmF2dE1McElPOUVNaGIzTUlVanVwdDlTQlZZTi0wbmxzTUFTMnFCS3cyUDhYRWhYNkUwWUxzSjRMV1hON2JxMzBSQ1hmQmkyY3ZHSDlNRHpBZGNXbkNGVGtzYVJCTFJOc0tMOVgta2FIelRES1pyNS1LUllkLXlfSHNXUEt4NUk?oc=5,google_news,1d,2025-12-16T17:50:17.751659+00:00,negative,-0.999992847442627
AAPL,"Provident Investment Management Inc. Has $608,000 Stock Holdings in Apple Inc. $AAPL - MarketBeat",2025-12-16T11:34:31,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNS0MxRFd6SkcwUkRzV3pXNjlFcnlzb1E0VWItUG1Pa2RBTjRlYWNEcE54RFdNYkI5TGREZXJnVXh1RDl2Y2xCbEVlUi1qNi1BTllKb1dpYms3aEtIRE1WQ3NIbDY0MnBaRDhlM3JESXBnUU5uczN4ekt5c2FoUkRQdjdJRDVfNTVfcFdXNnpVVmtPWG14VEo4S2FtNGhWLWpldFJDN19CRFFGVDNPS2lyYWNCS0REU19KR3pRSEtVaU1PeXdJUG5DQm01dC1fN2RWb3E3dkNEZw?oc=5,google_news,1d,2025-12-16T17:50:17.751800+00:00,neutral,-1.0984783784806496e-06
AAPL,Apple Inc. $AAPL Shares Acquired by NWF Advisory Services Inc. - MarketBeat,2025-12-16T11:44:35,https://news.google.com/rss/articles/CBMivAFBVV95cUxQbzFEOEhpeWliUTVqOHBsNGI5el82Nm5kSTB2WGVFODM2MFlGa2lGQm5oaFhzM1B4ZDFJNWtwc2g0d01IRUItODhwQnhMcHdmSkFNT3BtUk9PNDJGWTFzc1Q2TXRmUDJac2pzMEVkSmVhN2RSNk41VkdnZWxCeHlaMGp4ZUhFZm1FcHh6Q0ZwbE9KeHNCaFRRb0VwSUxEX0JUOFliTnpDX2FQRnRyd01WNFB6SUM4SC10Z2lQRA?oc=5,google_news,1d,2025-12-16T17:50:17.751945+00:00,neutral,-1.4094322978053242e-05
